ANT1,58.90,121.98,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,54.40,124.26,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,36.66,110.71,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,52.35,128.23,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,52.28,124.30,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,50.40,126.53,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,50.35,128.55,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,44.50,128.03,90.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,46.60,128.57,270.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,47.60,128.56,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,42.86,123.50,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,43.09,118.55,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,27.02,121.40,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,54.42,127.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,34.10,108.28,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,48.70,115.62,270.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,47.20,115.67,270.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,56.91,123.43,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,41.13,117.11,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,42.03,111.33,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,32.60,115.52,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,25.17,129.27,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,44.89,98.47,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,52.73,123.42,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,33.85,99.37,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,30.23,98.71,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,42.17,105.23,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,31.35,115.57,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,42.10,100.47,270.00,"0.1uF ",NORDIC_NRF_3_RESC0201_L
C37,23.43,123.83,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,26.41,125.73,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,24.45,123.79,270.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,55.72,123.46,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,29.63,125.33,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,28.10,125.63,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
